PersonID,FirstName,LastName,OrganizationID,DocumentID,AuthorID,EmailAddress,OtherNames,FormerInstitution
2070,Rosina,Moraliyska,1038,WOS:001228342600005,,,,
2376,Nadya B.,Hadzhieva,1049,WOS:000600569700008,,,,
2499,Emilian,Kalchev,1018,WOS:001125621100001,,,,
2452,Galina,Yaneva,1046,WOS:001320981100001,,,,
2274,Martina,Stoeva,1015,WOS:001122720400016,,,,
2260,Yoana,Sotirova,1050,WOS:000990596800002,,,,
2463,Ralitsa,Yotsova,1041,WOS:001257145100009,,,,
2341,Stanislava K.,Georgieva,1047,WOS:001001522000001,,,,
2285,Antoniya,Dimova,1055,WOS:000766162100001,,,,
2192,Stela,Dimitrova,1037,WOS:000933582100011,,,,
2130,Teodorika Vitalinova,Panayotova,1025,WOS:000678602700034,,,,
2481,Martin N.,Ivanov,1012,WOS:001072037000001,,,,
2385,Milena,Stoyanova,1020,WOS:001050507000212,,,,
2467,Maria,Zhelyazkova-Savova,1029,WOS:000625162301351,,,,
2107,Krastena,Nikolova,1052,WOS:000866573300001,,,,
2176,Nikolay V.,Conev,1025,WOS:000645825800025,,,,
2470,Zornitsa Ivanova,Zlatarova,1063,WOS:001342721400001,,,,
2019,Mariya,Levkova,1020,WOS:000741367200026,,,,
2290,Maria,Dimova-Mileva,1031,WOS:000672599906024,,,,
2176,Nikolay V.,Conev,1025,WOS:000700527704021,,,,
2320,Bistra,Galunska,1045,WOS:001031055000001,,,,
2396,Tatyana,Telbizova,1032,WOS:000751870800005,,,,
2527,Nikola,Kolev,1016,WOS:001199831600039,,,,
2176,Nikolay V.,Conev,1025,WOS:001163758000014,,,,
2555,Nikolay,Dragnev,1036,WOS:001241067100001,,,,
2140,Tsonko,Paunov,1056,WOS:001197121000001,,,,
2180,Zhivka,Dancheva,1035,WOS:001332779402403,,,,
2176,Nikolay V.,Conev,1025,WOS:000558722000034,,,,
2480,Violeta,Iotova,1028,WOS:000886431800025,,,,
2019,Mariya,Levkova,1020,WOS:000779367702475,,,,
2025,Lubomir,Makedonski,1047,WOS:000663076300011,,,,
2454,Alexandra,Yankova,1063,WOS:000907717300002,,,,
2021,Emran,Lyutfi,1022,WOS:000766694100007,,,,
2141,Stoyan P.,Pavlov,1012,WOS:000894764400001,,,,
2145,Zhivko,Bliznakov,1057,WOS:000802227900130,,,,
2146,Kristina,Bliznakova,1057,WOS:000776574300014,,,,
2091,Silva P.,Andonova,1022,WOS:001201413100013,,,,
2380,Darina N.,Hristova,1056,WOS:000613924400012,,,,
2457,Tsvetelina,Yordanova,1018,WOS:000857046603210,,,,
2525,Miglena,Kolarova,1056,WOS:001153778000046,,,,
2309,Deyan,Dzhenkov,1015,WOS:000787261900163,,,,
2552,Simeonka,Dimitrova,1051,WOS:001323601800001,,,,
2281,George S.,Stoyanov,1015,WOS:000637891500017,,,,
